Time,Flux
0.0,1.099304533116885
1.0,1.0687991242942687
2.0,1.0641889074526114
3.0,1.029543807936585
4.0,1.0274904549136634
5.0,0.9924531045223836
6.0,1.0097326804384614
7.0,1.0108821692878185
8.0,1.0280531625902487
9.0,1.0692453362454055
10.0,1.0432670537783908
11.0,1.0386542422876341
12.0,1.0655554615600937
13.0,1.0660036822968237
14.0,1.0607129622073028
15.0,1.0806688107520568
16.0,1.0806544577014752
17.0,1.1139083321308318
18.0,1.0871120783872184
19.0,1.1241435937061777
20.0,1.0907286105441347
21.0,1.1400309907234067
22.0,1.126547140326953
23.0,1.1223881103115418
24.0,1.1443387700452772
25.0,1.159155546816648
26.0,1.180624447413103
27.0,1.1498141702831428
28.0,1.1685988709729
29.0,1.202851835180957
30.0,1.1769240620650099
31.0,1.2320237500860944
32.0,1.2223378909046105
33.0,1.2533006930164
34.0,1.231366727771857
35.0,1.2407884282561428
36.0,1.2643742651056291
37.0,1.2436895327714856
38.0,1.2575862983967605
39.0,1.2641125107719438
40.0,1.2671298873724095
41.0,1.2702542517376052
42.0,1.3001548899372908
43.0,1.3133926985316338
44.0,1.27848804924796
45.0,1.2540863842743613
46.0,1.2479825260077564
47.0,1.2498180932844447
48.0,1.2016755543666007
49.0,1.1749863383967505
50.0,1.1790860241625591
51.0,1.1412145291665554
52.0,1.1403151473616735
53.0,1.103393885902069
54.0,1.1023846088745295
55.0,1.0658842571097515
56.0,1.0389216204872722
57.0,1.0351222187951064
58.0,0.9918554524367753
59.0,1.0030960092915984
60.0,1.0188829693400467
61.0,1.0256693781717299
62.0,1.0256309489293023
63.0,1.0219627403706868
64.0,1.029850763655349
65.0,1.0536479919972739
66.0,1.0670784978170889
67.0,1.059928620295113
68.0,1.0868342680054606
69.0,1.0924606357312108
70.0,1.0872303729833752
71.0,1.0814622577517907
72.0,1.1416224822427403
73.0,1.1142475640433154
74.0,1.1031853448325197
75.0,1.1189219540631041
76.0,1.1109177493638347
77.0,1.117156768561471
78.0,1.1644267995907978
79.0,1.1830410682324775
80.0,1.1503812834030727
81.0,1.1736944079080727
82.0,1.1704635821414848
83.0,1.1623856860471684
84.0,1.1935750521471324
85.0,1.2171266826526448
86.0,1.1962407144004805
87.0,1.2523111259977182
88.0,1.2486461799872843
89.0,1.2621582549262385
90.0,1.2147447764236388
91.0,1.265343784255998
92.0,1.2629088998400004
93.0,1.2377793722531352
94.0,1.2849844566358375
95.0,1.3071809459260573
96.0,1.2631761800917438
97.0,1.3249517831962987
98.0,1.2951741757543624
99.0,1.260795208489266
100.0,1.243162114537424
101.0,1.215626610821495
102.0,1.2158794456255868
103.0,1.1735328495125257
104.0,1.1492273496792178
105.0,1.1565627924783035
106.0,1.1008411805864287
107.0,1.0866735093815196
108.0,1.0706669010312277
109.0,1.0867038766840225
110.0,1.0713414673560655
111.0,1.0030927833647305
112.0,1.0128558142896147
113.0,0.9879636942381396
114.0,0.9857947755322866
115.0,1.0282450661563074
116.0,1.0313196836528657
117.0,1.0674633260840722
118.0,1.0551408609895014
119.0,1.0513298889257554
